תאריך,סכום,קטגוריה,תת-קטגוריה,תיאור,סוג,משויך לחודש,קטגוריות,סוג חיוב
11/9/2025 12:00am,₪75.00,אוכל,אוכל בחוץ,יאשקה,הוצאה,September,,ויזה 6346
19/8/2025 12:00am,₪628.00,אוכל,סופר,,הוצאה,September,,כאל 6660
11/8/2025 12:00am,₪28.00,אוכל,אוכל בחוץ,סופרטל רמת השרון,הוצאה,August,,ויזה 6346
30/8/2025 12:00am,₪50.40,אוכל,אוכל בחוץ,יובל,הוצאה,September,,
20/8/2025 12:00am,₪87.00,אוכל,אוכל בחוץ,,הוצאה,September,,ויזה 6346
31/7/2025 12:00am,₪35.00,אוכל,אוכל בחוץ,צהריים עבודה,הוצאה,August,,ויזה 6346
4/8/2025 12:00am,₪52.00,אוכל,אוכל בחוץ,פגישה עם אפרת buy the way,הוצאה,August,,ויזה 6346
1/1/2025 12:00am,₪655.00,אוכל,סופר,אין,הוצאה,January,,ויזה 6346
9/8/2025 12:00am,₪17.00,אוכל,סופר,,הוצאה,August,,ויזה 6346
16/9/2025 12:00am,₪30.00,אוכל,אוכל בחוץ,סביח,הוצאה,October,,ויזה 6346
9/9/2025 12:00am,₪57.00,אוכל,אוכל בחוץ,יאשקה,הוצאה,September,,ויזה 6346
30/8/2025 12:00am,₪18.28,אוכל,מזדמנים,,הוצאה,September,,ויזה 6346
1/2/2025 12:00am,₪906.00,אוכל,אוכל בחוץ,אין,הוצאה,February,,ויזה 6346
30/8/2025 12:00am,₪16.50,אוכל,מזדמנים,,הוצאה,September,,ויזה 6346
10/8/2025 12:00am,₪1819.00,אוכל,סופר,,הוצאה,August,,כאל 6660
19/8/2025 12:00am,₪102.00,אוכל,אוכל בחוץ,,הוצאה,September,,ויזה 6346
1/5/2025 12:00am,₪2254.00,אוכל,סופר,אין,הוצאה,May,,כאל 6660
14/7/2025 12:00am,₪307.00,אוכל,מסעדות ומשלוחים,וולט למלון יום הולדת יובי,הוצאה,July,,ויזה 6346
14/9/2025 12:00am,₪20.00,אוכל,מזדמנים,,הוצאה,September,,ויזה 6346
26/7/2025 12:00am,₪62.00,אוכל,אוכל בחוץ,,הוצאה,August,,ויזה 6346
30/8/2025 12:00am,₪74.00,אוכל,אוכל בחוץ,,הוצאה,September,,ויזה 6346
3/9/2025 12:00am,₪57.00,אוכל,אוכל בחוץ,יאשקה,הוצאה,September,,ויזה 6346
20/8/2025 12:00am,₪57.00,אוכל,אוכל בחוץ,צהריים בעבודה,הוצאה,September,,ויזה 6346
28/8/2025 12:00am,₪57.00,אוכל,אוכל בחוץ,יאשקה,הוצאה,September,,ויזה 6346
16/9/2025 12:00am,₪437.00,אוכל,מסעדות ומשלוחים,מסעדות עם יובי,הוצאה,October,,כאל 6660
1/7/2025 12:00am,₪572.00,אוכל,אוכל בחוץ,אין,הוצאה,July,,ויזה 6346
24/7/2025 12:00am,₪57.00,אוכל,אוכל בחוץ,צהריים עבודה,הוצאה,August,,ויזה 6346
19/8/2025 12:00am,₪70.80,אוכל,סופר,,הוצאה,September,,כאל 6660
14/9/2025 12:00am,₪2669.00,אוכל,סופר,,הוצאה,September,,כאל 6660
30/8/2025 12:00am,₪36.00,אוכל,אוכל בחוץ,,הוצאה,September,,ויזה 6346
24/8/2025 12:00am,₪105.00,אוכל,אוכל בחוץ,,הוצאה,September,,ויזה 6346
16/7/2025 12:00am,₪57.00,אוכל,אוכל בחוץ,צהריים עבודה,הוצאה,August,,ויזה 6346
21/8/2025 12:00am,₪114.00,אוכל,סופר,,הוצאה,September,,ויזה 6346
17/9/2025 12:00am,₪57.00,אוכל,אוכל בחוץ,יאשקה,הוצאה,October,,ויזה 6346
15/8/2025 12:00am,₪10.00,אוכל,מזדמנים,,הוצאה,August,,ויזה 6346
1/5/2025 12:00am,₪388.00,אוכל,מזדמנים,אין,הוצאה,May,,ויזה 6346
1/4/2025 12:00am,₪2047.00,אוכל,סופר,אין,הוצאה,April,,כאל 6660
1/2/2025 12:00am,₪2000.00,אוכל,סופר,אין,הוצאה,February,,כאל 6660
13/8/2025 12:00am,₪60.00,אוכל,אוכל בחוץ,צהריים עבודה,הוצאה,August,,ויזה 6346
21/8/2025 12:00am,₪68.00,אוכל,אוכל בחוץ,המבורגר בעבודה,הוצאה,September,,ויזה 6346
1/5/2025 12:00am,₪778.00,אוכל,אוכל בחוץ,אין,הוצאה,May,,ויזה 6346
30/8/2025 12:00am,₪13.00,אוכל,מזדמנים,,הוצאה,September,,ויזה 6346
23/8/2025 12:00am,₪307.00,אוכל,מסעדות ומשלוחים,מינה טומי,הוצאה,September,,ויזה 6346
30/8/2025 12:00am,₪61.86,אוכל,סופר,,הוצאה,September,,ויזה 6346
1/7/2025 12:00am,₪2084.00,אוכל,סופר,אין,הוצאה,July,,כאל 6660
1/3/2025 12:00am,₪2136.00,אוכל,סופר,אין,הוצאה,March,,כאל 6660
9/9/2025 12:00am,₪38.00,אוכל,אוכל בחוץ,אבולעפיה,הוצאה,September,,ויזה 6346
19/8/2025 12:00am,₪144.00,אוכל,אוכל בחוץ,גחנון של שבת,הוצאה,September,,ביט/פייבוקס
18/7/2025 12:00am,₪10.00,אוכל,אוכל בחוץ,,הוצאה,August,,ויזה 6346
31/7/2025 12:00am,₪14.00,אוכל,אוכל בחוץ,צהריים עבודה,הוצאה,August,,ויזה 6346
1/6/2025 12:00am,₪1871.00,אוכל,סופר,אין,הוצאה,June,,כאל 6660
7/8/2025 12:00am,₪57.00,אוכל,אוכל בחוץ,צהריים עבודה,הוצאה,August,,ויזה 6346
29/8/2025 12:00am,₪219.00,אוכל,אוכל בחוץ,,הוצאה,September,,ויזה 6346
1/6/2025 12:00am,₪1155.00,אוכל,אוכל בחוץ,אין,הוצאה,June,,ויזה 6346
