תת-קטגוריות,לינק לקטגוריה,כל התנועות,כל התנועות יובי
משכורת,הכנסות,"9/5/2025 9:00pm,9/8/2025 9:00pm,9/1/2025 10:00pm,31/7/2025 9:00pm,9/7/2025 9:00pm,9/6/2025 9:00pm,9/2/2025 10:00pm,8/9/2025 9:00pm,9/3/2025 10:00pm,9/4/2025 9:00pm,11/10/2025 9:00pm,9/11/2025 10:00pm,8/12/2025 10:00pm,9/1/2026 10:00pm,10/2/2026 7:38pm,9/3/2026 11:42pm",
יובי העברות,הכנסות,"16/9/2025 9:00pm,9/4/2025 9:00pm,9/2/2025 10:00pm,9/8/2025 9:00pm,9/7/2025 9:00pm,9/3/2025 10:00pm,9/6/2025 9:00pm,9/1/2025 10:00pm,9/5/2025 9:00pm,11/10/2025 9:00pm,12/11/2025 10:00pm",
ביט+פייבוקס,הכנסות,"9/4/2025 9:00pm,9/1/2025 10:00pm,9/3/2025 10:00pm,9/2/2025 10:00pm,6/11/2025 10:00pm,13/11/2025 10:00pm",
זיכויים,הכנסות,"9/5/2025 9:00pm,9/2/2025 10:00pm,8/9/2025 9:00pm,22/12/2025 10:00pm,4/2/2026 8:17am",
עסק צדדי,הכנסות,"9/3/2025 10:00pm,27/9/2025 9:00pm,8/12/2025 10:00pm",
הכנסות חד פעמיות,הכנסות,"9/5/2025 9:00pm,2/8/2025 9:00pm,19/9/2025 9:00pm,25/9/2025 9:00pm,25/10/2025 11:00pm,22/10/2025 9:00pm,26/11/2025 10:00pm,8/12/2025 10:00pm,23/12/2025 10:00pm",
ביטוח,רכב,"31/12/2024 10:00pm,31/3/2025 9:00pm,31/7/2025 9:00pm,31/5/2025 9:00pm,28/2/2025 10:00pm,30/6/2025 9:00pm,10/9/2025 9:00pm,30/4/2025 9:00pm,31/1/2025 10:00pm,8/11/2025 10:00pm,14/11/2025 10:00pm,14/1/2026 10:00pm,14/12/2025 10:00pm,14/2/2026 10:00pm,14/3/2026 10:00pm",
דלק,רכב,"31/3/2025 9:00pm,22/7/2025 9:00pm,31/1/2025 10:00pm,30/8/2025 9:00pm,20/8/2025 9:00pm,30/6/2025 9:00pm,30/4/2025 9:00pm,13/9/2025 9:00pm,3/8/2025 9:00pm,18/8/2025 9:00pm,29/8/2025 9:00pm,28/2/2025 10:00pm,31/5/2025 9:00pm,2/10/2025 9:00pm,11/10/2025 9:00pm,25/10/2025 11:00pm,3/11/2025 10:00pm,19/11/2025 10:00pm,4/12/2025 10:00pm,9/1/2026 10:00pm,7/2/2026 12:08pm,26/1/2026 6:34pm,19/2/2026 6:14pm,1/3/2026 6:50pm,18/3/2026 4:04pm",
חניה,רכב,"7/10/2025 9:00pm,11/10/2025 9:00pm,17/11/2025 10:00pm,27/1/2026 6:42pm,10/2/2026 6:58pm",
דוחות,רכב,"31/5/2025 9:00pm,31/3/2025 9:00pm,30/4/2025 9:00pm,9/10/2025 9:00pm",
טסט,רכב,"30/6/2025 9:00pm,23/6/2025 9:00pm,31/8/2025 9:00pm",
טיפולים,רכב,"23/8/2025 9:00pm,28/2/2025 10:00pm,28/10/2025 10:00pm",
תיקונים,רכב,"30/6/2025 9:00pm,18/8/2025 9:00pm,30/4/2025 9:00pm,25/9/2025 9:00pm,9/10/2025 9:00pm,14/10/2025 9:00pm,27/10/2025 10:00pm,6/11/2025 10:00pm,7/12/2025 10:00pm",
